,year,title,genre,publisher,plataform,refs
0,1972,Pong,Sports,Atari,Arcade,15
1,1977,Zork,Adventure,Infocom,PDP-10,10
2,1978,Space Invaders,Shoot 'em up,Taito,Arcade,18
3,1979,Asteroids,Shoot 'em up,Atari,Arcade,13
4,1980,Adventure,Action-adventure,Atari,Atari 2600,7
5,1980,Missile Command,Shoot 'em up,Atari,Arcade,8
6,1980,Pac-Man,Maze,Namco,Arcade,17
7,1981,Centipede,Shoot 'em up,Atari,Arcade,6
8,1981,Defender,Shoot 'em up,Williams Entertainment,Arcade,11
9,1981,Donkey Kong,Platform,Nintendo,Arcade,19
10,1981,Frogger,Action,Sega,Arcade,6
11,1981,Galaga,Shoot 'em up,Namco,Arcade,13
12,1981,Tempest,Shoot 'em up,Atari,Arcade,6
13,1982,Joust,Action,Williams Entertainment,Arcade,7
14,1982,Ms. Pac-Man,Maze,Midway,Arcade,19
15,1982,Pitfall!,Platform,Activision,Atari 2600,11
16,1982,Robotron: 2084,Top-down shooter,Williams Entertainment,Arcade,9
17,1983,Star Wars,Shoot 'em up,Atari,Arcade,9
18,1984,Elite,Space flight simulator,Acornsoft,BBC Micro,10
19,1984,Marble Madness,Action,Atari Games,Arcade,8
20,1984,Tetris,Puzzle,Elorg,Electronika 60,42
21,1985,Gauntlet,Action role-playing,Atari Games,Arcade,14
22,1985,Ghosts 'n Goblins,Platform,Capcom,Arcade,6
23,1985,Super Mario Bros.,Platform,Nintendo,NES,21
24,1986,Bubble Bobble,Platform,Taito,Arcade,8
25,1986,The Legend of Zelda,Action-adventure,Nintendo,NES,14
26,1986,Out Run,Racing,Sega,Arcade,8
27,1987,Contra,Run and gun,Konami,Arcade,13
28,1987,Double Dragon,Beat 'em up,Technos Japan,Arcade,11
29,1987,Mike Tyson's Punch-Out!!,Sports,Nintendo,NES,15
30,1987,R-Type,Shoot 'em up,Irem,Arcade,10
31,1988,Mega Man 2,Platform,Capcom,NES,19
32,1988,Super Mario Bros. 3,Platform,Nintendo,NES,26
33,1989,Prince of Persia,Platform,Broderbund,Apple II,10
34,1989,SimCity,City-building,Maxis,"Amiga, Macintosh",11
35,1990,The Secret of Monkey Island,Adventure,LucasArts,PC,14
36,1990,Speedball 2: Brutal Deluxe,Sports,Image Works,Atari ST,7
37,1990,Super Mario World,Platform,Nintendo,Super NES,28
38,1991,Another World,Platform,Delphine Software,"Amiga, Atari ST",8
39,1991,Civilization,Turn-based strategy,MicroProse,PC,10
40,1991,The Legend of Zelda: A Link to the Past,Action-adventure,Nintendo,Super NES,34
41,1991,Lemmings,Puzzle,Psygnosis,Amiga,15
42,1991,Monkey Island 2: LeChuck's Revenge,Adventure,LucasArts,PC,14
43,1991,Sonic the Hedgehog,Platform,Sega,Sega Genesis,22
44,1991,Street Fighter II,Fighting,Capcom,Arcade,33
45,1992,Dune II,Real-time strategy,Virgin Games,PC,8
46,1992,Flashback,Platform,Delphine Software,Amiga,6
47,1992,Mortal Kombat,Fighting,Midway,Arcade,9
48,1992,Sonic the Hedgehog 2,Platform,Sega,Sega Genesis,12
49,1992,Super Mario Kart,Kart racing,Nintendo,Super NES,33
50,1992,Virtua Racing,Racing,Sega,Arcade,6
51,1992,Wolfenstein 3D,First-person shooter,Apogee Software,PC,10
52,1993,Day of the Tentacle,Adventure,LucasArts,PC,17
53,1993,Daytona USA,Racing,Sega,Arcade,6
54,1993,Doom,First-person shooter,id Software,PC,30
